date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:26	152/152	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:35%20GMT	https://github.com/Polyphian/repo/raw/master/assets/img/DustryGreenIcon.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/assets/img/DustryGreenIcon.31.delayed	(from https://broank.bss.design/Laetus.html)
20:08:26	24407/24407	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:36%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/assets/img/DustryGreenIcon.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/assets/img/DustryGreenIcon.png	(from https://broank.bss.design/Laetus.html)
20:08:27	147/147	---M--	302	error ('Found')	text/html	date:Tue,%2025%20Jan%202022%2017:08:36%20GMT	https://github.com/Polyphian/repo/raw/master/assets/img/LustryIcon.png	C:/Users/dell%207280/Downloads/bna/bna/github.com/Polyphian/repo/raw/master/assets/img/LustryIcon.33.delayed	(from https://broank.bss.design/Laetus.html)
20:08:27	31857/31857	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jan%202022%2017:08:37%20GMT	https://raw.githubusercontent.com/Polyphian/repo/master/assets/img/LustryIcon.png	C:/Users/dell%207280/Downloads/bna/bna/raw.githubusercontent.com/Polyphian/repo/master/assets/img/LustryIcon.png	(from https://broank.bss.design/Laetus.html)
20:08:31	1090662/1090662	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-10a466%22	https://broank.bss.design/assets/img/shortcutsWetr2.png?h=3310851266670ad6e52680fdc223e2f7	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/shortcutsWetr2240b.png	(from https://broank.bss.design/Shortcuts.html)
20:08:31	1095475/1095475	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-10b733%22	https://broank.bss.design/assets/img/shortcutsWetr.png?h=b49b652a4e15add4630e344aa72ac55b	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/shortcutsWetref34.png	(from https://broank.bss.design/Shortcuts.html)
20:08:32	1103167/1103167	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-10d53f%22	https://broank.bss.design/assets/img/shortcutsGlance.png?h=892624bfa79f3317f1e89c51df49cdce	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/shortcutsGlancee59e.png	(from https://broank.bss.design/Shortcuts.html)
20:08:32	57747/57747	---MCZ	200	added ('OK')	text/html	etag:W/%2261ef1f9b-e193%22	https://broank.bss.design/Wetr.html	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/Wetr.html	(from https://broank.bss.design/Shortcuts.html)
20:08:32	1238159/1238159	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-12e48f%22	https://broank.bss.design/assets/img/shortcutsWetr4.png?h=ed3fcb51b1e19ca5a70903ac11836334	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/shortcutsWetr4b813.png	(from https://broank.bss.design/Shortcuts.html)
20:08:33	18465/18465	---MCZ	200	added ('OK')	text/html	etag:W/%2261ef1f9b-4821%22	https://broank.bss.design/HSC.html	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/HSC.html	(from https://broank.bss.design/Shortcuts.html)
20:08:34	844183/844183	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-ce197%22	https://broank.bss.design/assets/img/shortcutsClassicaLS.png?h=8bec2099d0595ec7482991cae939d665	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/shortcutsClassicaLS8216.png	(from https://broank.bss.design/Shortcuts.html)
20:08:39	821037/821037	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-c872d%22	https://broank.bss.design/assets/img/shortcutsWetr3.png?h=c77cbd9149878d26cfe478c6cd4e4f90	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/shortcutsWetr3c6d9.png	(from https://broank.bss.design/Shortcuts.html)
20:08:39	943791/943791	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-e66af%22	https://broank.bss.design/assets/img/shortcutsHSC.png?h=d0e00736cc28a0ad6de4b1f8de8d4ec7	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/shortcutsHSC3ba0.png	(from https://broank.bss.design/Shortcuts.html)
20:08:39	18/18	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2025%20Jan%202022%2017:08:45%20GMT	https://cdnjs.cloudflare.com/robots.txt		(from https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.min.css)
20:08:41	185128/185128	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-2d328%22	https://broank.bss.design/assets/img/WetrIcon.png?h=fc90bd5932e0d0e6afd4c32e79b74e53	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/WetrIcon9d09.png	(from https://broank.bss.design/Wetr.html)
20:08:41	118058/118058	---M--	200	added ('OK')	image/jpeg	etag:%2261ef1f9a-1cd2a%22	https://broank.bss.design/assets/img/1.jpg?h=bb41c89c1577a18bbb393b6cae211d34	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/133bc.jpg	(from https://broank.bss.design/Wetr.html)
20:08:42	102033/102033	---M--	200	added ('OK')	image/jpeg	etag:%2261ef1f9a-18e91%22	https://broank.bss.design/assets/img/2.jpg?h=3fc7caffbcaf18ebd611698f60dd13c0	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/292db.jpg	(from https://broank.bss.design/Wetr.html)
20:08:42	123078/123078	---M--	200	added ('OK')	image/jpeg	etag:%2261ef1f9a-1e0c6%22	https://broank.bss.design/assets/img/4.jpg?h=2b786b1d1bcbf1458004a573a21eb9c3	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/4df13.jpg	(from https://broank.bss.design/Wetr.html)
20:08:42	119981/119981	---M--	200	added ('OK')	image/jpeg	etag:%2261ef1f9a-1d4ad%22	https://broank.bss.design/assets/img/3.jpg?h=f09a777d3d3ca90a92ba4a110af29d4d	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/382f4.jpg	(from https://broank.bss.design/Wetr.html)
20:08:42	807195/807195	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-c511b%22	https://broank.bss.design/assets/img/shortcutsVertiblur.png?h=cb202c508dc652aca84c32cd8e706682	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/shortcutsVertiblur9f97.png	(from https://broank.bss.design/Shortcuts.html)
